"species","term","estimate","std.error","statistic","t.value","p.value","species.1","term.1","estimate.1","std.error.1","statistic.1","t.value.1","p.value.1","species.2","term.2","estimate.2","std.error.2","statistic.2","t.value.2","p.value.2","species.3","term.3","estimate.3","std.error.3","statistic.3","t.value.3","p.value.3","species.4","term.4","estimate.4","std.error.4","statistic.4","t.value.4","p.value.4","species.5","term.5","estimate.5","std.error.5","statistic.5","t.value.5","p.value.5","species.6","term.6","estimate.6","std.error.6","statistic.6","t.value.6","p.value.6","species.7","term.7","estimate.7","std.error.7","statistic.7","t.value.7","p.value.7","species.8","term.8","estimate.8","std.error.8","statistic.8","t.value.8","p.value.8","species.9","term.9","estimate.9","std.error.9","statistic.9","t.value.9","p.value.9","species.10","term.10","estimate.10","std.error.10","statistic.10","t.value.10","p.value.10","species.11","term.11","estimate.11","std.error.11","statistic.11","t.value.11","p.value.11","species.12","term.12","estimate.12","std.error.12","statistic.12","t.value.12","p.value.12","species.13","term.13","estimate.13","std.error.13","statistic.13","t.value.13","p.value.13","species.14","term.14","estimate.14","std.error.14","statistic.14","t.value.14","p.value.14"
"Castilleja occidentalis","(Intercept)",393.782065543963,197.029528491916,1.99859416280398,0.0101436275978602,0.99196777106818,"Eremogone fendleri","(Intercept)",240.55955377825,212.432763938225,1.13240325700514,0.00533064314567992,0.995812681148233,"Geum rossii","(Intercept)",932.516471674149,289.85203850689,3.21721550235701,0.0110995096633779,0.991232156443452,"Primula angustifolia","(Intercept)",528.896361346843,136.031306893407,3.8880488133609,0.0285820147005392,0.977330201686054,"Bistorta bistortoides","(Intercept)",797.422689308173,193.171444718099,4.12805676569784,0.0213699119542334,0.983071942942434,"Trifolium nanum","(Intercept)",736.117792169725,153.205662912926,4.80476881972761,0.0313615615008852,0.975141146553546,"Pedicularis groenlandica","(Intercept)",433.957662626719,176.999319157254,2.45174763774753,0.0138517348508516,0.989073118260306,"Polemonium viscosum","(Intercept)",274.259742745838,198.284581468041,1.38316222429046,0.00697564184794364,0.9944919487504,"Gentiana algida","(Intercept)",674.012781584234,175.763629487022,3.83476822566413,0.0218177573873284,0.982753772432693,"Trifolium dasyphyllum","(Intercept)",627.412291830915,175.166537787817,3.58180449162565,0.020447995015831,0.983836363307257,"Cherleria obtusiloba","(Intercept)",768.069721539489,169.104848438439,4.54197338888894,0.0268589187763141,0.978739064606139,"Artemisia scopulorum","(Intercept)",910.573095517134,164.59218145721,5.53229860285838,0.0336121591796064,0.973503861368644,"Hymenoxys grandiflora","(Intercept)",603.332081764887,122.000481948719,4.9453253964889,0.0405352939389828,0.967890346342478,"Penstemon whippleanus","(Intercept)",331.535018714827,321.874465801975,1.03001341808454,0.00320004699819285,0.997488907449483,"Pedicularis parryi","(Intercept)",379.018888654586,171.961151034731,2.20409602037401,0.0128174067637454,0.989954332854258
"Castilleja occidentalis","year",-0.101007705903957,0.0999087786352843,-1.01099930640414,-10.1192239582348,1.20220530711574e-11,"Eremogone fendleri","year",-0.0238704781122457,0.108988519837922,-0.219018279610952,-2.00955366617197,0.0616549247529207,"Geum rossii","year",-0.378149899234979,0.145622852318836,-2.59677580279113,-17.8321998329328,9.93298904388474e-16,"Primula angustifolia","year",-0.175626854301904,0.0689284867244106,-2.54795749403427,-36.9652318673628,3.19339822227249e-34,"Bistorta bistortoides","year",-0.296639337252846,0.0977891540444277,-3.03345846634563,-31.0203978752844,4.74396397281849e-27,"Trifolium nanum","year",-0.275840759178793,0.0778737246582567,-3.54215443513587,-45.4858740952788,2.07923919448671e-35,"Pedicularis groenlandica","year",-0.113598118358662,0.090642925461055,-1.25324858813686,-13.82621513772,2.50138635045681e-12,"Polemonium viscosum","year",-0.0474749501009943,0.0990259125808718,-0.479419465710278,-4.84135367415826,6.21696987497948e-05,"Gentiana algida","year",-0.229707478554103,0.0897915047335188,-2.55823175294616,-28.4907994418673,1.10506589020568e-21,"Trifolium dasyphyllum","year",-0.222814505639825,0.0886536372953041,-2.51331487841421,-28.3498224674346,1.25816420593117e-21,"Cherleria obtusiloba","year",-0.28958567608625,0.0858042275077467,-3.37495814014648,-39.3332384449446,1.14283610884034e-28,"Artemisia scopulorum","year",-0.363785073534833,0.0840554420928706,-4.32791815112811,-51.4888512078291,1.37585331231098e-23,"Hymenoxys grandiflora","year",-0.201986581498043,0.0618841775345013,-3.2639454792048,-52.7428109937327,1.09261774124237e-35,"Penstemon whippleanus","year",-0.0676104335065804,0.160353290946887,-0.421634212228141,-2.62940791385316,0.0189549057425077,"Pedicularis parryi","year",-0.0813947087451586,0.0872679768311146,-0.932698473148722,-10.6877517620665,4.07356506206479e-08
"Castilleja occidentalis","prevWintPPT",5.7539478451595,5.26213603702403,1.09346238954583,0.207798198650187,0.836663655276111,"Eremogone fendleri","prevWintPPT",-2.24922818017736,6.97093312617028,-0.322658120436316,-0.0462862165790966,0.96365492601871,"Geum rossii","prevWintPPT",5.59159549725846,5.463305293918,1.02348215895664,0.187337537240694,0.852908117350239,"Primula angustifolia","prevWintPPT",-0.227448687476969,3.74949367031377,-0.0606611738746942,-0.0161784974741984,0.987166824880991,"Bistorta bistortoides","prevWintPPT",-4.76757572944325,4.335982571488,-1.09953756751544,-0.253584406622304,0.801300373092069,"Trifolium nanum","prevWintPPT",-0.470935751506553,3.9958720696359,-0.117855562765668,-0.0294943283247822,0.9766207615256,"Pedicularis groenlandica","prevWintPPT",-0.786772254119143,4.63288846503031,-0.169823266857773,-0.0366560231569621,0.971089854906064,"Polemonium viscosum","prevWintPPT",0.206887608314686,5.20996147699845,0.0397100073058271,0.0076219387573485,0.993981634744197,"Gentiana algida","prevWintPPT",6.05423675352359,4.24944778101167,1.42471141322797,0.335269777780111,0.740012656087947,"Trifolium dasyphyllum","prevWintPPT",1.8354899835716,4.67855690930489,0.392319687278166,0.0838548498785823,0.933790485970487,"Cherleria obtusiloba","prevWintPPT",1.01016403719958,5.58452348122514,0.180886344304164,0.0323906497863772,0.974361710872065,"Artemisia scopulorum","prevWintPPT",5.00724937925127,5.09814283357175,0.982171261714767,0.192652754890874,0.849081868059818,"Hymenoxys grandiflora","prevWintPPT",-3.7054567028022,3.39878328939644,-1.09023035224474,-0.320770775720255,0.750238825583983,"Penstemon whippleanus","prevWintPPT",0.441131149366437,5.11841635676726,0.0861850851158679,0.0168382325915943,0.986787598337977,"Pedicularis parryi","prevWintPPT",-9.75528001577179,7.3805945572428,-1.32174717634349,-0.179084105771183,0.860437548315301
